Date,Close,High,Low,Open,Volume
2005-10-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-10-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-10-31,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-04,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-08,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-09,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-11,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-14,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-16,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-17,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-18,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-21,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-22,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-23,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-24,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-25,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-29,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-11-30,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-01,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-05,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-06,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-08,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-09,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-12,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-13,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-14,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-15,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-16,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-19,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-20,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-21,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-22,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-23,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-26,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-29,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2005-12-30,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-04,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-05,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-06,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-09,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-12,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-13,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-16,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-17,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-18,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-19,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-20,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-23,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-24,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-25,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-30,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-01-31,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-01,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-06,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-08,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-13,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-14,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-15,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-16,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-17,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-20,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-21,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-22,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-23,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-24,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-02-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-01,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-06,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-08,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-09,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-13,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-14,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-16,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-17,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-20,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-21,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-22,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-23,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-24,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-29,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-30,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-03-31,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-04,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-05,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-12,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-13,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-17,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-18,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-19,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-20,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-21,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-24,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-25,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-26,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-04-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-04,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-05,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-08,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-09,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-11,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-12,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-15,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-16,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-17,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-18,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-19,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-22,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-23,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-24,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-25,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-26,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-29,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-30,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-05-31,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-01,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-05,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-06,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-08,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-09,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-12,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-13,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-14,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-15,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-16,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-19,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-20,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-21,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-22,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-23,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-26,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-29,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-06-30,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-04,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-05,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-06,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-11,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-12,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-13,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-14,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-17,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-18,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-19,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-20,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-21,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-24,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-25,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-26,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-27,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-28,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-07-31,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-01,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-02,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-03,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-04,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-07,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-08,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-09,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-10,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
2006-08-11,1.5099999904632568,1.5099999904632568,1.5099999904632568,1.5099999904632568,0
